iter	Passed	Remaining
0	124	123942
1	125	62467
2	126	41987
3	127	31716
4	128	25543
5	129	21406
6	130	18533
7	132	16436
8	133	14726
9	134	13351
10	136	12241
11	137	11343
12	139	10557
13	140	9863
14	140	9255
15	141	8723
16	142	8263
17	144	7857
18	145	7535
19	146	7202
20	147	6894
21	148	6612
22	149	6357
23	150	6125
24	151	5910
25	152	5713
26	153	5527
27	154	5355
28	155	5195
29	156	5045
30	156	4904
31	158	4784
32	159	4675
33	160	4561
34	161	4451
35	162	4348
36	163	4249
37	164	4158
38	165	4070
39	166	3987
40	166	3905
41	167	3830
42	168	3758
43	169	3689
44	170	3622
45	171	3560
46	173	3512
47	174	3457
48	175	3402
49	176	3347
50	177	3295
51	177	3243
52	178	3195
53	179	3148
54	180	3103
55	181	3059
56	182	3016
57	183	2977
58	184	2938
59	185	2899
60	186	2874
61	187	2842
62	188	2809
63	189	2775
64	190	2742
65	191	2711
66	192	2680
67	193	2650
68	194	2621
69	195	2592
70	195	2564
71	196	2538
72	197	2512
73	198	2486
74	199	2462
75	200	2441
76	202	2422
77	203	2399
78	203	2377
79	204	2355
80	205	2333
81	206	2312
82	207	2287
83	207	2266
84	208	2246
85	209	2227
86	210	2209
87	211	2191
88	212	2174
89	213	2160
90	214	2142
91	215	2128
92	216	2114
93	218	2102
94	219	2086
95	220	2071
96	221	2057
97	221	2042
98	222	2027
99	223	2012
100	224	1998
101	225	1984
102	226	1971
103	227	1957
104	228	1944
105	228	1931
106	230	1923
107	231	1911
108	232	1899
109	233	1887
110	234	1877
111	235	1865
112	236	1853
113	237	1842
114	237	1830
115	238	1819
116	239	1807
117	240	1796
118	241	1786
119	242	1775
120	243	1765
121	243	1755
122	245	1748
123	246	1739
124	247	1729
125	248	1721
126	248	1711
127	249	1701
128	250	1692
129	251	1683
130	252	1675
131	253	1666
132	254	1657
133	255	1648
134	256	1640
135	256	1632
136	257	1624
137	259	1618
138	260	1612
139	261	1605
140	262	1598
141	262	1588
142	263	1581
143	264	1573
144	265	1566
145	266	1559
146	267	1551
147	268	1544
148	269	1537
149	270	1530
150	270	1523
151	271	1516
152	272	1509
153	274	1505
154	275	1499
155	276	1493
156	276	1486
157	277	1480
158	278	1473
159	279	1467
160	280	1459
161	281	1453
162	281	1447
163	282	1441
164	283	1435
165	284	1429
166	285	1423
167	286	1418
168	287	1412
169	288	1410
170	289	1405
171	290	1400
172	291	1394
173	292	1389
174	293	1384
175	294	1379
176	295	1374
177	296	1368
178	297	1363
179	298	1358
180	299	1353
181	299	1348
182	300	1343
183	301	1338
184	303	1336
185	304	1331
186	305	1327
187	306	1322
188	307	1317
189	308	1313
190	308	1308
191	309	1304
192	310	1299
193	311	1295
194	312	1290
195	313	1286
196	314	1281
197	315	1277
198	317	1275
199	318	1272
200	319	1269
201	320	1266
202	321	1262
203	322	1259
204	323	1255
205	324	1252
206	325	1248
207	326	1244
208	327	1240
209	328	1236
210	329	1232
211	330	1229
212	331	1226
213	333	1223
214	333	1219
215	334	1215
216	336	1212
217	337	1209
218	338	1206
219	339	1203
220	340	1201
221	341	1198
222	343	1195
223	344	1192
224	345	1190
225	346	1188
226	348	1185
227	349	1181
228	350	1179
229	351	1176
230	352	1173
231	353	1169
232	354	1166
233	355	1163
234	356	1160
235	357	1157
236	358	1154
237	359	1151
238	360	1148
239	361	1145
240	362	1141
241	363	1139
242	364	1136
243	365	1133
244	366	1130
245	368	1128
246	369	1126
247	370	1123
248	371	1121
249	373	1119
250	375	1119
251	376	1117
252	378	1116
253	379	1114
254	381	1113
255	382	1111
256	383	1109
257	384	1106
258	386	1104
259	387	1102
260	389	1101
261	390	1099
262	391	1097
263	392	1095
264	393	1092
265	394	1089
266	395	1087
267	396	1084
268	398	1082
269	399	1079
270	400	1077
271	401	1074
272	403	1073
273	404	1072
274	405	1069
275	407	1068
276	408	1066
277	409	1063
278	410	1061
279	411	1059
280	413	1056
281	415	1057
282	416	1054
283	417	1052
284	418	1049
285	419	1047
286	421	1046
287	422	1043
288	423	1041
289	424	1039
290	425	1036
291	426	1034
292	428	1033
293	430	1033
294	431	1031
295	432	1028
296	433	1026
297	434	1024
298	436	1022
299	437	1020
300	438	1017
301	439	1015
302	440	1013
303	441	1011
304	443	1009
305	444	1008
306	445	1005
307	447	1004
308	448	1002
309	449	1000
310	450	997
311	451	995
312	452	993
313	453	991
314	454	988
315	455	986
316	458	987
317	459	986
318	460	984
319	462	982
320	463	980
321	464	978
322	466	976
323	467	974
324	468	973
325	469	971
326	471	970
327	474	971
328	475	969
329	476	967
330	477	965
331	479	964
332	480	962
333	482	961
334	483	959
335	484	957
336	486	956
337	488	956
338	489	954
339	490	952
340	492	952
341	494	950
342	495	948
343	496	947
344	498	945
345	499	944
346	501	944
347	503	942
348	504	941
349	505	939
350	507	937
351	508	935
352	509	933
353	511	932
354	512	930
355	513	929
356	515	928
357	517	927
358	518	925
359	519	923
360	520	921
361	522	920
362	523	918
363	524	916
364	526	915
365	531	919
366	532	919
367	534	917
368	536	917
369	537	915
370	539	913
371	540	911
372	541	910
373	543	909
374	544	907
375	546	907
376	547	905
377	549	903
378	550	901
379	551	899
380	552	897
381	553	896
382	555	894
383	556	892
384	557	890
385	559	890
386	561	889
387	562	887
388	563	885
389	565	884
390	566	882
391	567	880
392	568	878
393	570	877
394	571	875
395	573	873
396	574	872
397	575	870
398	577	870
399	578	868
400	580	866
401	581	864
402	582	862
403	583	861
404	584	859
405	585	857
406	588	856
407	589	855
408	590	853
409	591	851
410	592	849
411	594	847
412	595	845
413	596	843
414	597	842
415	598	840
416	600	838
417	601	837
418	603	836
419	604	835
420	606	833
421	607	831
422	608	830
423	609	828
424	610	826
425	611	824
426	613	822
427	614	820
428	616	820
429	618	819
430	619	818
431	621	816
432	622	814
433	623	813
434	624	811
435	626	809
436	627	808
437	628	806
438	630	806
439	631	804
440	633	802
441	634	800
442	635	798
443	636	797
444	637	795
445	638	793
446	640	791
447	641	790
448	642	788
449	643	787
450	646	786
451	647	784
452	648	783
